ï»¿Category,Organisation Name,Country,Short Description,Website URL,Category/Focus,Contact Name,Phone,Email,Unnamed: 9,Unnamed: 10
Poverty Alleviation & Social Services,Concordia Bulgaria,Bulgaria,Supports vulnerable youth and families through social programs,https://www.concordia.bg,Poverty Alleviation & Social Services,General Inquiries,+359 2 9461334,office@concordia.bg,,
Poverty Alleviation & Social Services,Habitat for Humanity Bulgaria,Bulgaria,Builds and renovates homes for low-income families,https://hfh.bg,Poverty Alleviation & Social Services,General Inquiries,+359 2 9831814,office@hfh.bg,,
Poverty Alleviation & Social Services,Bulgarian Food Bank,Bulgaria,Collects surplus food and distributes it to those in need,https://bgfoodbank.org,Poverty Alleviation & Social Services,General Inquiries,+359 88 5277144,office@bgfoodbank.org,,
Poverty Alleviation & Social Services,Friends of Bulgaria,Bulgaria,Supports social services for underprivileged youth,,Poverty Alleviation & Social Services,General Inquiries,,,,
Poverty Alleviation & Social Services,Caritas Croatia,Croatia,"Provides poverty relief, community support, and social services",https://www.caritas.hr,Poverty Alleviation & Social Services,General Inquiries,+385 1 5635200,ured@caritas.hr,,
Poverty Alleviation & Social Services,Croatian Catholic Charity (HKD),Croatia,"Supports the poor, homeless, and vulnerable groups",,Poverty Alleviation & Social Services,General Inquiries,,,,
Poverty Alleviation & Social Services,MoSt Association,Croatia,Supports homeless people and social inclusion projects,https://www.udruga-most.hr,Poverty Alleviation & Social Services,General Inquiries,+385 21 396441,udruga.most@gmail.com,,
Poverty Alleviation & Social Services,Red Noses Clowndoctors Croatia,Croatia,Provides support and social services through hospital-based initiatives,https://www.crvenenosovi.hr,Poverty Alleviation & Social Services,General Inquiries,+385 1 3011469,info@crvenenosovi.hr,,
Poverty Alleviation & Social Services,Kruh sv. Ante,Croatia,Offers food and social aid through community programs,https://kruhsvante.com,Poverty Alleviation & Social Services,General Inquiries,+385 1 4827989,info@kruhsvante.com,,
Poverty Alleviation & Social Services,Caritas Cyprus,Cyprus,Provides social services and poverty relief to marginalized communities,https://caritascyprus.org,Poverty Alleviation & Social Services,General Inquiries,+357 22 432477,info@caritascyprus.org,,
Poverty Alleviation & Social Services,Cyprus Red Cross Society (Social Welfare),Cyprus,Provides aid to vulnerable groups and poverty relief services,https://www.redcross.org.cy,Poverty Alleviation & Social Services,General Inquiries,+357 22 666955,info@redcross.org.cy,,
Poverty Alleviation & Social Services,AKTI Project & Research Centre,Cyprus,Offers social enterprise programs for poverty alleviation,https://www.akti.org.cy,Poverty Alleviation & Social Services,General Inquiries,+357 22 454555,akti@akti.org.cy,,
Poverty Alleviation & Social Services,Agios Stefanos Foundation,Cyprus,Supports individuals with disabilities and community integration,,Poverty Alleviation & Social Services,General Inquiries,,,,
Environmental Protection & Animal Welfare,FOUR PAWS (VIER PFOTEN),Austria,International organization focusing on animal welfare and protection,https://www.four-paws.org,Animal Welfare,General Inquiries,,office@four-paws.org,,
Environmental Protection & Animal Welfare,GLOBAL 2000,Austria,Environmental organization focusing on ecological issues and sustainability,https://www.global2000.at,Environmental Protection,General Inquiries,,info@global2000.at,,
Environmental Protection & Animal Welfare,BirdLife Austria,Austria,Dedicated to the protection of bird species and their habitats,https://www.birdlife.at,Environmental Protection,General Inquiries,,office@birdlife.at,,
Environmental Protection & Animal Welfare,Association Against Animal Factories (VGT),Austria,Advocates against industrial animal farming and promotes animal rights,https://www.vgt.at,Animal Welfare,General Inquiries,,office@vgt.at,,
Environmental Protection & Animal Welfare,Greenpeace Belgium,Belgium,Part of the global Greenpeace network focusing on environmental issues,https://www.greenpeace.org/belgium,Environmental Protection,General Inquiries,,info.be@greenpeace.org,,
Environmental Protection & Animal Welfare,WWF Belgium,Belgium,Works on wildlife conservation and reducing human impact on the environment,https://www.wwf.be,Environmental Protection,General Inquiries,,info@wwf.be,,
Environmental Protection & Animal Welfare,Friends of the Earth Europe,Belgium,Network of environmental organizations advocating for sustainable policies,https://www.foeeurope.org,Environmental Protection,General Inquiries,,info@foeeurope.org,,
Environmental Protection & Animal Welfare,ClientEarth,Belgium,Environmental law organization working to protect the environment through legal action,https://www.clientearth.org,Environmental Protection,General Inquiries,,info@clientearth.org,,
Environmental Protection & Animal Welfare,Za Zemiata (For the Earth),Bulgaria,Environmental organization focusing on sustainable development and environmental justice,https://zazemiata.org,Environmental Protection,General Inquiries,,office@zazemiata.org,,
Environmental Protection & Animal Welfare,Bulgarian Society for the Protection of Birds (BSPB),Bulgaria,Dedicated to the conservation of wild birds and their habitats,https://bspb.org,Environmental Protection,General Inquiries,,office@bspb.org,,
Environmental Protection & Animal Welfare,Green Balkans,Bulgaria,Focuses on biodiversity conservation and habitat protection,https://greenbalkans.org,Environmental Protection,General Inquiries,,office@greenbalkans.org,,
Environmental Protection & Animal Welfare,BlueLink Foundation,Bulgaria,Supports environmental journalism and sustainable development initiatives,https://www.bluelink.net,Environmental Protection,General Inquiries,,info@bluelink.net,,
Environmental Protection & Animal Welfare,Balkani Wildlife Society,Bulgaria,Works on the conservation of large carnivores and their habitats,https://balkani.org,Environmental Protection,General Inquiries,,office@balkani.org,,
Environmental Protection & Animal Welfare,Zelena Akcija (Green Action),Croatia,Leading environmental organization focusing on ecological sustainability,https://zelena-akcija.hr,Environmental Protection,General Inquiries,,zelena-akcija@zelena-akcija.hr,,
Environmental Protection & Animal Welfare,Animal Friends Croatia,Croatia,Advocates for animal rights and promotes veganism,https://www.prijatelji-zivotinja.hr,Animal Welfare,General Inquiries,,info@prijatelji-zivotinja.hr,,
Environmental Protection & Animal Welfare,Sunce Association,Croatia,Focuses on environmental protection and sustainable development,https://www.sunce-st.org,Environmental Protection,General Inquiries,,info@sunce-st.org,,
Environmental Protection & Animal Welfare,Green Istria,Croatia,Environmental NGO working on ecological education and conservation,https://www.zelena-istra.hr,Environmental Protection,General Inquiries,,zelena-istra@zelena-istra.hr,,
Environmental Protection & Animal Welfare,Friends of the Earth Cyprus,Cyprus,Environmental organization promoting sustainable development and environmental justice,https://www.foecyprus.org,Environmental Protection,General Inquiries,,info@foecyprus.org,,
Environmental Protection & Animal Welfare,BirdLife Cyprus,Cyprus,Dedicated to the conservation of wild birds and their habitats,https://birdlifecyprus.org,Environmental Protection,General Inquiries,,info@birdlifecyprus.org,,
Environmental Protection & Animal Welfare,Cyprus Conservation Foundation (Terra Cypria),Cyprus,Focuses on environmental education and conservation projects,https://www.terracypria.org,Environmental Protection,General Inquiries,,info@terracypria.org,,
Environmental Protection & Animal Welfare,Cyprus Marine Environment Protection Association (CYMEPA),Cyprus,Aims to prevent marine pollution and protect the marine environment,https://www.cymepa.org.cy,Environmental Protection,General Inquiries,,cymepa@cytanet.com.cy,,
Environmental Protection & Animal Welfare,BlueLink Foundation,Bulgaria,Environmental NGO focusing on sustainable development and environmental justice,https://www.bluelink.net,Environmental Protection,General Inquiries,,office@bluelink.net,,
Environmental Protection & Animal Welfare,Bulgarian Society for the Protection and Preservation of Birds (BSPB),Bulgaria,Dedicated to the conservation of wild birds and their habitats,https://bspb.org,Environmental Protection,General Inquiries,,office@bspb.org,,
Environmental Protection & Animal Welfare,Semperviva,Bulgaria,Conserves indigenous breeds and promotes biodiversity preservation,,Environmental Protection,General Inquiries,,,,
Environmental Protection & Animal Welfare,Bear Sanctuary Belitsa,Bulgaria,Provides a sanctuary for rescued brown bears,,Animal Welfare,General Inquiries,,,,
Environmental Protection & Animal Welfare,Animal Friends Croatia,Croatia,Promotes animal rights and veganism through education and campaigns,https://www.prijatelji-zivotinja.hr,Animal Welfare,General Inquiries,,prijatelji.zivotinja@inet.hr,,
Environmental Protection & Animal Welfare,Green Action (Zelena Akcija),Croatia,Environmental organization focusing on sustainable development and environmental protection,https://zelena-akcija.hr,Environmental Protection,General Inquiries,,zelena-akcija@zelena-akcija.hr,,
Environmental Protection & Animal Welfare,Sunce Association,Croatia,Focuses on environmental protection and sustainable development through education and advocacy,https://sunce-st.org,Environmental Protection,General Inquiries,,info@sunce-st.org,,
Environmental Protection & Animal Welfare,BIOM Association,Croatia,Dedicated to bird conservation and biodiversity,https://www.biom.hr,Environmental Protection,General Inquiries,,info@biom.hr,,
Environmental Protection & Animal Welfare,Association for Nature Environment and Sustainable Development (Sunce),Croatia,Promotes environmental protection and sustainable development,https://sunce-st.org,Environmental Protection,General Inquiries,,info@sunce-st.org,,
Environmental Protection & Animal Welfare,BirdLife Cyprus,Cyprus,Dedicated to the conservation of birds and their habitats in Cyprus,https://birdlifecyprus.org,Environmental Protection,General Inquiries,,info@birdlifecyprus.org,,
Environmental Protection & Animal Welfare,Cyprus Voice for Animals,Cyprus,Promotes animal welfare and works to end animal cruelty in Cyprus,,Animal Welfare,General Inquiries,,,,
Environmental Protection & Animal Welfare,Terra Cypria - The Cyprus Conservation Foundation,Cyprus,Focuses on environmental education and conservation projects,https://terracypria.org,Environmental Protection,General Inquiries,,info@terracypria.org,,
Environmental Protection & Animal Welfare,Friends of the Earth Cyprus,Cyprus,Environmental organization advocating for sustainable policies and practices,https://foecyprus.weebly.com,Environmental Protection,General Inquiries,,foecyprus@gmail.com,,
 Culture & Humanities,ERSTE Foundation,Austria,Supports social participation and civil society engagement through cultural initiatives,https://www.erstestiftung.org,"Arts, Culture & Humanities",General Inquiries,,office@erstestiftung.org,,
 Culture & Humanities,Jeunesses Musicales International,Austria,Provides opportunities for young musicians to engage in cultural exchanges and performances,https://jmi.net,"Arts, Culture & Humanities",General Inquiries,,mail@jmi.net,,
 Culture & Humanities,UNESCO Austria,Austria,Promotes cultural heritage preservation and intercultural dialogue,https://www.unesco.at,"Arts, Culture & Humanities",General Inquiries,,office@unesco.at,,
 Culture & Humanities,Jeunesses Musicales International,Belgium,Provides opportunities for young musicians to engage in cultural exchanges and performances,https://jmi.net,"Arts, Culture & Humanities",General Inquiries,,mail@jmi.net,,
 Culture & Humanities,Jeunesses Musicales International,Bulgaria,Provides opportunities for young musicians to engage in cultural exchanges and performances,https://jmi.net,"Arts, Culture & Humanities",General Inquiries,,mail@jmi.net,,
 Culture & Humanities,Balkan Heritage Foundation,Bulgaria,Supports the preservation and promotion of cultural and historical heritage in Southeastern Europe,https://www.balkanheritage.org,"Arts, Culture & Humanities",General Inquiries,,info@balkanheritage.org,,
 Culture & Humanities,Jeunesses Musicales International,Croatia,Provides opportunities for young musicians to engage in cultural exchanges and performances,https://jmi.net,"Arts, Culture & Humanities",General Inquiries,,mail@jmi.net,,
 Culture & Humanities,Jeunesses Musicales International,Cyprus,Provides opportunities for young musicians to engage in cultural exchanges and performances,https://jmi.net,"Arts, Culture & Humanities",General Inquiries,,mail@jmi.net,,
 Culture & Humanities,Euro-Arab Youth Music Center,Cyprus,Fosters cultural exchange and musical collaboration between European and Arab youth,https://www.eaymc.org,"Arts, Culture & Humanities",General Inquiries,,info@eaymc.org,,
International Relief & Development,CARE Austria,Austria,Focuses on fighting global poverty and providing disaster relief,https://www.care.at,International Relief & Development,General Inquiries,,care@care.at,,
International Relief & Development,Red Cross Austria,Austria,"Provides emergency assistance, disaster relief, and education",https://www.roteskreuz.at,International Relief & Development,General Inquiries,,info@roteskreuz.at,,
International Relief & Development,Light for the World,Austria,Committed to improving eye health and inclusive education in developing countries,https://www.light-for-the-world.org,International Relief & Development,General Inquiries,,office@light-for-the-world.org,,
International Relief & Development,Caritas Austria,Austria,Provides aid and development programs worldwide,https://www.caritas.at,International Relief & Development,General Inquiries,,online@caritas-austria.at,,
International Relief & Development,Doctors Without Borders Austria,Austria,Delivers medical aid in regions affected by war and disease,https://www.aerzte-ohne-grenzen.at,International Relief & Development,General Inquiries,,office@aerzte-ohne-grenzen.at,,
International Relief & Development,Caritas International Belgium,Belgium,Provides international emergency aid and development programs,https://www.caritasinternational.be,International Relief & Development,General Inquiries,,info@caritasint.be,,
International Relief & Development,Oxfam-SolidaritÃ¢ËÅ¡ÃÂ© Belgium,Belgium,Fights global poverty and injustice through various programs,https://www.oxfamsol.be,International Relief & Development,General Inquiries,,info@oxfamsol.be,,
International Relief & Development,Doctors Without Borders Belgium,Belgium,Offers medical assistance in crisis regions worldwide,https://www.msf-azg.be,International Relief & Development,General Inquiries,,info@msf.be,,
International Relief & Development,Handicap International Belgium,Belgium,Supports people with disabilities in situations of poverty and exclusion,https://www.handicapinternational.be,International Relief & Development,General Inquiries,,info@handicap.be,,
International Relief & Development,Plan International Belgium,Belgium,Advocates for children's rights and equality for girls worldwide,https://www.planinternational.be,International Relief & Development,General Inquiries,,info@planinternational.be,,
International Relief & Development,Caritas Bulgaria,Bulgaria,Provides social services and development aid,https://caritas.bg,International Relief & Development,General Inquiries,,caritas@caritas.bg,,
International Relief & Development,Bulgarian Red Cross,Bulgaria,Offers emergency assistance and disaster relief,https://en.redcross.bg,International Relief & Development,General Inquiries,,info@redcross.bg,,
International Relief & Development,Doctors Without Borders Bulgaria,Bulgaria,Delivers medical aid in crisis zones,https://www.msf.org/bulgaria,International Relief & Development,General Inquiries,,info@sofia.msf.org,,
International Relief & Development,Habitat for Humanity Bulgaria,Bulgaria,Builds and renovates homes for those in need,https://hfh.bg,International Relief & Development,General Inquiries,,office@hfh.bg,,
International Relief & Development,Save the Children Bulgaria,Bulgaria,Promotes children's rights and provides relief,https://bulgaria.savethechildren.net,International Relief & Development,General Inquiries,,info@savethechildren.bg,,
International Relief & Development,Caritas Croatia,Croatia,Provides humanitarian aid and development programs,https://www.caritas.hr,International Relief & Development,General Inquiries,,ured@caritas.hr,,
International Relief & Development,Croatian Red Cross,Croatia,Offers disaster relief and health services,https://www.hck.hr,International Relief & Development,General Inquiries,,info@hck.hr,,
International Relief & Development,Doctors Without Borders Croatia,Croatia,Provides medical assistance in conflict areas,https://www.msf.org/croatia,International Relief & Development,General Inquiries,,info@zagreb.msf.org,,
International Relief & Development,ADRA Croatia,Croatia,Engages in development and relief projects,https://adra.hr,International Relief & Development,General Inquiries,,info@adra.hr,,
International Relief & Development,UNICEF Croatia,Croatia,Advocates for children's rights and welfare,https://www.unicef.hr,International Relief & Development,General Inquiries,,info@unicef.hr,,
International Relief & Development,Caritas Cyprus,Cyprus,Provides social services and international aid,https://caritascyprus.org,International Relief & Development,General Inquiries,,info@caritascyprus.org,,
International Relief & Development,Cyprus Red Cross Society,Cyprus,Offers emergency assistance and disaster relief,https://www.redcross.org.cy,International Relief & Development,General Inquiries,,info@redcross.org.cy,,
International Relief & Development,Doctors Without Borders Cyprus,Cyprus,Delivers medical aid in crisis regions,https://www.msf.org/cyprus,International Relief & Development,General Inquiries,,info@nicosia.msf.org,,
International Relief & Development,Hope for Children CRC Policy Center,Cyprus,Advocates for children's rights and provides support services,https://www.uncrcpc.org,International Relief & Development,General Inquiries,,info@uncrcpc.org,,
International Relief & Development,UNHCR Cyprus,Cyprus,Protects and supports refugees and displaced persons,https://www.unhcr.org/cy,International Relief & Development,General Inquiries,,cypni@unhcr.org,,
Human & Civil Rights,Ludwig Boltzmann Institute of Fundamental and Human Rights,Austria,Conducts research and provides education on human rights issues,https://gmr.lbg.ac.at,Human & Civil Rights,General Inquiries,,office@gmr.lbg.ac.at,,
Human & Civil Rights,Amnesty International Austria,Austria,Advocates for human rights and campaigns against abuses,https://www.amnesty.at,Human & Civil Rights,General Inquiries,,info@amnesty.at,,
Human & Civil Rights,European Training and Research Centre for Human Rights and Democracy (ETC Graz),Austria,Provides training and research on human rights and democracy,https://www.etc-graz.eu,Human & Civil Rights,General Inquiries,,office@etc-graz.eu,,
Human & Civil Rights,League of Human Rights (Ligue des droits humains),Belgium,Promotes and defends human rights within Belgium,https://www.liguedh.be,Human & Civil Rights,General Inquiries,,info@liguedh.be,,
Human & Civil Rights,Amnesty International Belgium, Belgium,Advocates for human rights and campaigns against abuses,https://www.amnesty.be,Human & Civil Rights,General Inquiries,,info@amnesty.be,,
Human & Civil Rights,Helsinki Committee Bulgaria,Bulgaria,Monitors and reports on human rights issues in Bulgaria,https://www.bghelsinki.org,Human & Civil Rights,General Inquiries,,info@bghelsinki.org,,
Human & Civil Rights,Access to Information Programme,Bulgaria,Promotes freedom of information and transparency in Bulgaria,https://www.aip-bg.org,Human & Civil Rights,General Inquiries,,office@aip-bg.org,,
Human & Civil Rights,Croatian Helsinki Committee for Human Rights,Croatia,Monitors and reports on human rights issues in Croatia,https://www.hho.hr,Human & Civil Rights,General Inquiries,,hho@hho.hr,,
Human & Civil Rights,Center for Peace Studies,Croatia,Focuses on human rights education and advocacy,https://www.cms.hr,Human & Civil Rights,General Inquiries,,cms@cms.hr,,
Human & Civil Rights,KISA - Action for Equality Support  Antiracism,Cyprus,"Advocates for the rights of migrants, refugees, and asylum seekers",https://kisa.org.cy,Human & Civil Rights,General Inquiries,,kisa@kisa.org.cy,,
Human & Civil Rights,Cyprus Refugee Council,Cyprus,Provides support and advocacy for refugees and asylum seekers,https://cyrefugeecouncil.org,Human & Civil Rights,General Inquiries,,info@cyrefugeecouncil.org,,
Human & Civil Rights,Queer Cyprus Association,Cyprus,Promotes LGBTQ+ rights and works against discrimination based on sexual orientation and gender identity,https://www.queercyprus.org,Human & Civil Rights,General Inquiries,,info@queercyprus.org,,
Human & Civil Rights,Human Rights Platform,Cyprus,Collaborative platform of NGOs working to promote and protect human rights in Cyprus,https://insanhaklariplatformu.eu,Human & Civil Rights,General Inquiries,,info@insanhaklariplatformu.eu,,
Health & Medical Research,Austrian Red Cross,Austria,"Provides emergency medical services, blood donation, and health education",https://www.roteskreuz.at,Health & Medical Research,General Inquiries,,info@roteskreuz.at,,
Health & Medical Research,Medical University of Vienna,Austria,Conducts advanced medical research and offers healthcare services,https://www.meduniwien.ac.at,Health & Medical Research,General Inquiries,,info@meduniwien.ac.at,,
Health & Medical Research,Institute of Tropical Medicine Antwerp,Belgium,"Specializes in research, training, and services in tropical medicine and health",https://www.itg.be,Health & Medical Research,General Inquiries,,info@itg.be,,
Health & Medical Research,European Organisation for Research and Treatment of Cancer (EORTC),Belgium,Conducts translational and clinical research to improve cancer treatment,https://www.eortc.org,Health & Medical Research,General Inquiries,,info@eortc.org,,
Health & Medical Research,Bulgarian Red Cross,Bulgaria,"Provides health services, emergency response, and blood donation programs",https://en.redcross.bg,Health & Medical Research,General Inquiries,,info@redcross.bg,,
Health & Medical Research,National Center of Infectious and Parasitic Diseases,Bulgaria,Conducts research and monitoring of infectious diseases,https://www.ncipd.org,Health & Medical Research,General Inquiries,,office@ncipd.org,,
Health & Medical Research,Croatian Institute of Public Health,Croatia,"Engages in public health research, disease prevention, and health promotion",https://www.hzjz.hr,Health & Medical Research,General Inquiries,,info@hzjz.hr,,
Health & Medical Research,Children's Hospital Srebrnjak,Croatia,Focuses on pediatric healthcare and medical research,https://www.srebrnjak.hr,Health & Medical Research,General Inquiries,,info@srebrnjak.hr,,
Health & Medical Research,Cyprus Institute of Neurology and Genetics,Cyprus,"Conducts research and provides services in neurology, genetics, and biomedical sciences",https://www.cing.ac.cy,Health & Medical Research,General Inquiries,,info@cing.ac.cy,,
Health & Medical Research,Karaiskakio Foundation,Cyprus,Operates a bone marrow donor registry and conducts hematology research,https://www.karaiskakio.org.cy,Health & Medical Research,General Inquiries,,info@karaiskakio.org.cy,,
Education & Literacy,DonorsChoose,USA,Connects teachers in high-need communities with donors who want to help fund classroom projects.,https://www.donorschoose.org,Education & Literacy,General Inquiries,,info@donorschoose.org,,
Education & Literacy,Khan Academy,USA,"Provides free, world-class education to anyone, anywhere, through online resources.",https://www.khanacademy.org,Education & Literacy,General Inquiries,,contact@khanacademy.org,,
Education & Literacy,Teach For America,USA,Recruits and develops a diverse corps of leaders to teach in low-income communities.,https://www.teachforamerica.org,Education & Literacy,General Inquiries,,info@teachforamerica.org,,
Education & Literacy,Reading Is Fundamental,USA,Delivers free books and literacy resources to children in need.,https://www.rif.org,Education & Literacy,General Inquiries,,info@rif.org,,
Education & Literacy,Room to Read,USA,Focuses on literacy and gender equality in education across low-income countries.,https://www.roomtoread.org,Education & Literacy,General Inquiries,,info@roomtoread.org,,
Education & Literacy,The Education Endowment Foundation,UK,"Supports schools, nurseries, and colleges to improve teaching and learning through better use of evidence.",https://educationendowmentfoundation.org.uk,Education & Literacy,General Inquiries,,info@eefoundation.org.uk,,
Education & Literacy,National Literacy Trust,UK,"Works to improve the reading, writing, speaking, and listening skills in the UK's most disadvantaged communities.",https://literacytrust.org.uk,Education & Literacy,General Inquiries,,contact@literacytrust.org.uk,,
Education & Literacy,Book Aid International,UK,"Provides books and supports literacy, education, and development in sub-Saharan Africa.",https://bookaid.org,Education & Literacy,General Inquiries,,info@bookaid.org,,
Education & Literacy,The Smith Family,Australia,Supports disadvantaged Australian children to participate fully in their education.,https://www.thesmithfamily.com.au,Education & Literacy,General Inquiries,,contact@thesmithfamily.com.au,,
Education & Literacy,Australian Literacy and Numeracy Foundation,Australia,"Works to raise language, literacy, and numeracy standards in Australia.",https://alnf.org,Education & Literacy,General Inquiries,,info@alnf.org,,
Education & Literacy,World Literacy Foundation,Australia,"Strives to ensure that every young individual, regardless of geographic location, has the opportunity to acquire literacy skills.",https://worldliteracyfoundation.org,Education & Literacy,General Inquiries,,info@worldliteracyfoundation.org,,
Education & Literacy,Duffy Books in Homes,New Zealand,Aims to break the cycle of 'booklessness' by providing free books to children in low-decile schools.,https://www.booksinhomes.org.nz,Education & Literacy,General Inquiries,,contact@booksinhomes.org.nz,,
Education & Literacy,The Gift Trust,New Zealand,Facilitates charitable giving by connecting donors with impactful education projects.,https://www.thegifttrust.org.nz,Education & Literacy,General Inquiries,,info@thegifttrust.org.nz,,
Poverty Alleviation & Social Services,Feeding America,USA,Nationwide network of food banks providing meals to those in need.,https://www.feedingamerica.org,Poverty Alleviation & Social Services,General Inquiries,,info@feedingamerica.org,,
Poverty Alleviation & Social Services,Habitat for Humanity,USA,Nonprofit organization building affordable housing for families.,https://www.habitat.org,Poverty Alleviation & Social Services,General Inquiries,,publicinfo@habitat.org,,
Poverty Alleviation & Social Services,United Way Worldwide,USA,"Coalition of charitable organizations focusing on health, education, and financial stability.",https://www.unitedway.org,Poverty Alleviation & Social Services,General Inquiries,,info@unitedway.org,,
Poverty Alleviation & Social Services,The Salvation Army USA,USA,"Provides a range of services including shelters, food distribution, and disaster relief.",https://www.salvationarmyusa.org,Poverty Alleviation & Social Services,General Inquiries,,info@salvationarmyusa.org,,
Poverty Alleviation & Social Services,Oxfam America,USA,International organization focused on ending poverty and injustice.,https://www.oxfamamerica.org,Poverty Alleviation & Social Services,General Inquiries,,info@oxfamamerica.org,,
Poverty Alleviation & Social Services,Trussell Trust,UK,Supports a network of food banks across the UK.,https://www.trusselltrust.org,Poverty Alleviation & Social Services,General Inquiries,,enquiries@trusselltrust.org,,
Poverty Alleviation & Social Services,The Salvation Army UK,UK,"Offers support including homelessness services, food banks, and employment assistance.",https://www.salvationarmy.org.uk,Poverty Alleviation & Social Services,General Inquiries,,info@salvationarmy.org.uk,,
Poverty Alleviation & Social Services,Christians Against Poverty,UK,Provides free debt counseling and community support services.,https://capuk.org,Poverty Alleviation & Social Services,General Inquiries,,info@capuk.org,,
Poverty Alleviation & Social Services,Turn2us,UK,Charity helping people in financial hardship access welfare benefits and grants.,https://www.turn2us.org.uk,Poverty Alleviation & Social Services,General Inquiries,,info@turn2us.org.uk,,
Poverty Alleviation & Social Services,Good Shepherd Australia New Zealand,Australia,"Provides support services for women, children, and families experiencing disadvantage.",https://goodshep.org.au,Poverty Alleviation & Social Services,General Inquiries,,communications@goodshep.org.au,,
Poverty Alleviation & Social Services,The Salvation Army Australia,Australia,"Offers a range of services including emergency relief, housing support, and financial counseling.",https://www.salvationarmy.org.au,Poverty Alleviation & Social Services,General Inquiries,,info@salvationarmy.org.au,,
Poverty Alleviation & Social Services,St Vincent de Paul Society Australia,Australia,Provides assistance to people in need through various programs and services.,https://www.vinnies.org.au,Poverty Alleviation & Social Services,General Inquiries,,info@svdp.org.au,,
Poverty Alleviation & Social Services,The Salvation Army New Zealand,New Zealand,"Provides community services including food assistance, housing support, and addiction services.",https://www.salvationarmy.org.nz,Poverty Alleviation & Social Services,General Inquiries,,info@salvationarmy.org.nz,,
Poverty Alleviation & Social Services,Presbyterian Support New Zealand,New Zealand,"Offers social services including family support, elder care, and youth programs.",https://www.ps.org.nz,Poverty Alleviation & Social Services,General Inquiries,,info@ps.org.nz,,
Poverty Alleviation & Social Services,City Mission New Zealand,New Zealand,"Provides support to individuals and families in need, including food parcels and advocacy.",https://www.citymission.org.nz,Poverty Alleviation & Social Services,General Inquiries,,info@citymission.org.nz,,
Environmental Protection & Animal Welfare,World Wildlife Fund (WWF),USA,Focuses on global conservation efforts to protect endangered species and their habitats.,https://www.worldwildlife.org,Environmental Protection & Animal Welfare,General Inquiries,,info@wwf.org,,
Environmental Protection & Animal Welfare,The Humane Society of the United States,USA,Advocates for animal welfare and works to end animal cruelty through various campaigns.,https://www.humanesociety.org,Animal Welfare,General Inquiries,,info@humanesociety.org,,
Environmental Protection & Animal Welfare,Natural Resources Defense Council (NRDC),USA,Works to safeguard the earth's natural resources and ensure a healthy environment.,https://www.nrdc.org,Environmental Protection,General Inquiries,,nrdcinfo@nrdc.org,,
Environmental Protection & Animal Welfare,Environmental Defense Fund (EDF),USA,"Addresses environmental issues through science, economics, and partnerships.",https://www.edf.org,Environmental Protection,General Inquiries,,contact@edf.org,,
